year,country,Air Border Sector,Centre of Excellence in Combatting Document Fraud,Coast Guard Sector,Deployment Management Division,European Centre for Returns,Field Deployment Unit,Field Operations Unit,Frontex Situation Centre,Information Fusion Centre,International and European Cooperation Division,Joint Master’s in Strategic Border Management programme,Land Borders Sector,Land Borders Sector / Return Operations Sector,Law Enforcement Sector,Operational Response Division,Operational Support Division,Pooled Resources Unit,Public Regulated Service,Research and Development Unit,Research and Innovation Unit,Return Division,Return Operations Sector,Return Support Unit,Risk Analysis Unit,Sea Border Sector,Task Force Deployment Management,Training Unit,n.a.
2022,France,0,0,0,7261676.68,3781869,0,1845449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,France,0,0,0,9857777.86,1888203,0,1451199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,France,0,0,0,2098068.38,775973.2,0,0,0,0,0,0,0,0,0,0,8571512.74,0,0,0,0,646271,0,0,0,0,0,0,0
2014,Georgia,7013.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4196,0,0,0
2015,Georgia,9527,0,0,0,0,0,0,0,0,0,0,6386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Georgia,15074,0,0,0,0,0,0,0,0,0,0,17167,0,0,0,0,0,0,0,0,0,0,5795,0,0,0,0,0
2017,Georgia,26705,0,0,0,0,0,0,0,0,0,0,32874,0,0,0,0,0,0,0,0,0,0,13420,0,15702,0,0,0
2018,Georgia,0,0,0,0,40863.3,0,0,0,0,0,0,0,0,0,58800.64,0,0,0,0,0,0,0,10978.2,0,0,0,0,0
2019,Georgia,0,0,0,0,29756.7,224341.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Georgia,0,0,0,0,15857.4,27828.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Georgia,0,0,0,38601.32,41441.1,29346.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Georgia,0,0,0,31783.28,47255.590000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Georgia,0,0,0,214073.21,75114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Georgia,0,0,0,0,31088.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54179.45,0,0,0,0,0,0,0
2008,Germany,380576.01,0,0,0,0,0,0,0,0,0,0,701930.57,0,0,0,0,0,0,0,0,0,64829,0,0,1787370.15,0,0,0
2009,Germany,534963.36,0,0,0,0,0,0,0,0,0,0,830003.3200000001,0,0,0,0,0,0,0,0,0,616836.37,0,0,1676306.29,0,0,0
2010,Germany,271744.36,0,0,0,0,0,0,0,0,0,0,334345.37,0,0,0,0,500882.87,0,0,0,0,1106257.73,0,0,1122594.96,0,0,0
2011,Germany,308083.83,0,0,0,0,0,0,0,0,0,0,780079.33,0,0,0,0,0,0,0,0,0,945700.36,0,0,751395.17,0,0,0
2012,Germany,324969.99,0,0,0,0,0,0,42736.5,0,0,0,1347523.11,0,0,0,0,0,0,0,0,0,1176072.02,0,0,34962.99,0,0,0
2013,Germany,173057.99,0,0,0,0,0,0,0,0,0,0,953505.9,0,0,0,0,12122.67,0,0,0,0,982781.9400000001,0,0,28706.28,0,0,0
2014,Germany,78111.93,0,0,0,0,0,0,6918.62,0,0,0,634873.51,0,0,0,0,17173.93,0,0,0,0,780078.66,0,0,46211.48,0,0,0
2015,Germany,62985,0,0,0,0,0,0,34067,0,0,0,927411,0,0,0,0,43402,0,0,0,0,2244679,0,0,1485578,0,0,0
2016,Germany,101098,0,0,0,0,0,0,59376,0,0,0,1007212,0,0,0,0,0,0,0,0,0,0,14529139,0,9486537,0,0,0
2017,Germany,102835,0,0,0,0,0,0,38277,0,0,0,3247612,0,0,0,0,64159,0,0,0,0,0,16694357,0,7122137,0,131897,0
2018,Germany,0,0,0,0,18632760.06,0,0,28294,0,0,0,0,0,0,11259816,0,28181,0,0,0,0,0,4207120,0,0,0,0,0
2019,Germany,0,0,0,0,26906032.59,9992905.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Germany,0,0,110304.12,0,16548707.99,11812177.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2423669,0,0
2021,Germany,0,0,99570.85,6798341.44,24774127,10209802,2456941,66679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Germany,0,0,18433.71,16793601.81,21302195,0,2705783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Germany,0,0,0,21194763.84,27419065,0,2725531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Germany,0,0,0,18544320.83,9965624,0,824088,0,0,0,0,0,0,0,0,7151201.51,0,0,0,0,17848300,0,0,0,0,0,0,0
2008,Greece,25461.27,0,0,0,0,0,0,0,0,0,0,34501.14,0,0,0,0,0,0,0,0,0,6680,0,0,3637280.92,0,0,0
2009,Greece,15805.4,0,0,0,0,0,0,0,0,0,0,50077.79,0,0,0,0,0,0,0,0,0,7166.5,0,0,6172789.1,0,0,0
2010,Greece,0,0,0,0,0,0,0,0,0,0,0,482998.27,0,0,0,0,0,0,0,0,0,45552.34,0,0,3236643.9299999997,0,0,0
2011,Greece,11211.36,0,0,0,0,0,0,0,0,0,0,1132592.11,0,0,0,0,202182,0,0,0,0,4787.9,0,0,3276646.54,0,0,0
2012,Greece,22372.11,0,0,0,0,0,0,8071.15,0,0,0,911747.15,0,0,0,0,0,0,21087.27,0,0,13034.25,0,0,3391611.91,0,0,0
2013,Greece,1693,0,0,0,0,0,0,14931.849999999999,0,0,0,48356.7,0,0,0,0,0,0,0,0,0,0,0,0,2929074.83,0,0,0
2014,Greece,2000,0,0,0,0,0,0,4686.6,0,0,0,21679.8,0,0,0,0,0,0,0,0,0,9310.07,0,0,2915885.08,0,0,0
2015,Greece,242,0,0,0,0,0,0,47901,0,0,0,162195,0,0,0,0,48435,0,0,0,0,0,0,0,7455986,0,0,0
2016,Greece,9101,0,0,0,0,0,0,94342,0,0,0,770824,0,0,0,0,0,0,0,0,0,0,4609,0,12547837,0,0,0
2017,Greece,14032,0,0,0,0,0,0,102446,0,0,0,62949,0,0,0,0,0,0,0,0,0,0,80563,0,17077876,0,0,0
2018,Greece,0,0,0,0,14285,0,0,114989,0,0,0,0,0,0,11949400,0,0,0,0,0,0,0,15438,0,0,0,0,0
2019,Greece,0,0,0,0,13832,8946329.92,0,220138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Greece,0,0,0,0,3943,6270659,0,104293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460311,0,0
2021,Greece,0,0,0,822683.33,0,6677439,1307926,137900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366300.29,0,0
2022,Greece,0,0,0,5943639.94,0,0,9610638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Greece,0,0,0,6827051.67,0,0,10243835,93514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Greece,0,0,63795,3229718.77,63915,0,512879,135211,0,0,0,0,0,0,0,7178765.51,0,0,0,0,0,0,0,0,0,0,0,25661
2008,Hungary,21254.1,0,0,0,0,0,0,0,0,0,0,262816.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Hungary,49704.3,0,0,0,0,0,0,0,0,0,0,530489.06,0,0,0,0,0,0,0,0,0,3897.24,0,0,0,0,0,0
2010,Hungary,9072.8,0,0,0,0,0,0,0,0,0,0,420037.57,0,0,0,0,97376.78,0,0,0,0,49510.08,0,0,33397,0,0,0
2011,Hungary,65850.73,0,0,0,0,0,0,0,0,0,0,314458.56,0,0,0,0,0,0,0,0,0,14429.06,0,0,28102.65,0,0,0
2012,Hungary,23461.55,0,0,0,0,0,0,7834.5,0,0,0,144772.27,0,0,0,0,0,0,0,0,0,10771.69,0,0,24224,0,0,0
2013,Hungary,40975.65,0,0,0,0,0,0,0,0,0,0,225426.62,0,0,0,0,6584.78,0,0,0,0,11419,0,0,7515.68,0,0,0
2014,Hungary,20545.07,0,0,0,0,0,0,0,0,0,0,82187.67,0,0,0,0,0,0,0,0,0,137370.7,0,0,0,0,0,0
2015,Hungary,23225,0,0,0,0,0,0,642,0,0,0,172130,0,0,0,0,0,0,0,0,0,150397,0,0,8348,0,0,0
2016,Hungary,33514,0,0,0,0,0,0,19054,0,0,0,353789,0,0,0,0,0,0,0,0,0,0,310958,0,54105,0,0,0
2017,Hungary,39869,0,0,0,0,0,0,16270,0,0,0,300358,0,0,0,0,47150,0,0,0,0,0,583781,0,99597,0,110695,0
2018,Hungary,0,0,0,0,100905.88,0,0,16691,0,0,0,0,0,0,741512,0,8578,0,0,0,0,0,191463,0,0,0,113998.44,0
2019,Hungary,0,0,0,0,106692,539517,0,21187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113998.44,0
2020,Hungary,0,0,0,0,44166,938422,0,16717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Hungary,0,0,0,948841.09,70598,2375809,0,41504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35950.03,0,0
2022,Hungary,0,0,0,4263361.37,38232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Hungary,0,0,0,5478736.28,31565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Hungary,0,0,0,3848565.52,4128,0,0,0,0,0,0,0,0,0,0,1640885.94,0,0,0,0,13551,0,0,0,0,0,0,0
2008,Iceland,4581.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Iceland,41168.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9642.6,0,0,0,0,0,0
2010,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3550.4,0,0,4397923.29,0,0,0
2011,Iceland,13385.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5481.13,0,0,0,0,0,0,0,5142411.21,0,0,0
2012,Iceland,8764.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4308596.84,0,0,0
2013,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130522.68,0,0,3511416.08,0,0,0
2014,Iceland,3712.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7469,0,0,4294573.8100000005,0,0,0
2015,Iceland,3974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139541,0,0,4275937,0,0,0
2016,Iceland,8653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917697,0,659270,0,0,0
2017,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1891471,0,3245303,0,0,0
2018,Iceland,0,0,0,0,396565,0,0,0,0,0,0,0,0,0,2580912,0,0,0,0,0,0,0,790936.7,0,0,0,0,0
2019,Iceland,0,0,0,0,315411,2919418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Iceland,0,0,0,0,328427.54000000004,2463620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Iceland,0,0,0,155119.91,164632,3295583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Iceland,0,0,0,299633.16,28661,0,3036721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Iceland,0,0,0,309784.54000000004,86100,0,3349404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Iceland,0,0,0,124110.6,83510,0,819438,0,0,0,0,0,0,0,0,75707.18999999999,0,0,0,0,180684,0,0,0,0,0,0,0
2022,Iraq,0,0,0,0,1617200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Iraq,0,0,0,0,4739850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Iraq,0,0,0,0,5222250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Ireland,80573.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Ireland,25150.559999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384188.36,0,0,0,0,0,0
2010,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470031.37,0,0,0,0,0,0
2011,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188755.13999999998,0,0,0,0,0,0
2012,Ireland,4864.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184003.02,0,0,0,0,0,0
2013,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226177.9,0,0,0,0,0,0
2014,Ireland,13188.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186701,0,0,0,0,0,0
2008,Italy,280618.88,0,0,0,0,0,0,0,0,0,0,135682.86,0,0,0,0,0,0,0,0,0,214566.43,0,17333.7,8272725.340000001,0,0,0
2009,Italy,177129.51,0,0,0,0,0,0,0,0,0,0,102556.79,0,0,0,0,0,67801.8,0,0,0,298050,0,0,4158723.19,0,0,0
2010,Italy,105488.51,0,0,0,0,0,0,0,0,0,0,32548.399999999998,0,0,0,0,82530,0,0,0,0,365885.11,0,0,5325184.53,0,0,0
2011,Italy,59025.11,0,0,0,0,0,0,0,0,0,0,161660.28,0,0,0,0,37134,0,0,0,0,382813.28,0,0,15756107.61,0,0,0
2012,Italy,116223.04000000001,0,0,0,0,0,0,0,0,0,0,64368.28,0,0,0,0,0,0,0,0,0,1030941.7999999999,0,0,4638190.22,0,0,0
2013,Italy,102337.4,0,0,0,0,0,0,0,0,0,0,49787.1,0,0,0,0,0,0,0,0,0,820864.3,0,0,4406251.21,0,0,0
2014,Italy,128252.08,0,0,0,0,0,0,37711.08,0,0,0,38522.14,0,0,0,0,0,0,0,0,0,1130958.12,0,0,7097630.71,0,0,0
2015,Italy,71545,0,0,0,0,0,0,81199,0,0,0,267583,0,0,0,0,26609,0,0,0,0,2478771,0,0,14568996,0,0,0
2016,Italy,149594,0,0,0,0,0,0,134777,0,0,0,425204,0,0,0,0,0,0,0,0,0,0,2246645,0,18457749,0,0,0
2017,Italy,182639,0,0,0,0,0,0,182107,0,0,0,63026,0,0,0,0,0,0,0,0,0,0,4819514,0,13253507,0,134004,0
2018,Italy,0,0,0,0,4132090,0,0,590175,0,0,0,0,0,0,12780373,0,0,0,0,0,0,0,1747512,0,0,0,0,0
2019,Italy,0,0,0,0,5183338.9399999995,15779463.71,0,275917,64919.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Italy,0,0,0,0,3192370.73,11946318,0,251367,47684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3695630,0
2021,Italy,0,0,426961,4719456.42,7267638,15033893,3922510,756024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92600.07,281354.66,0
2022,Italy,0,0,32588,10577375.04,10234161,0,18375758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238360,0
2023,Italy,0,0,102481,14498237.24,9319727,0,14156719,0,0,0,0,0,0,0,686321,0,0,0,0,59845.5,0,0,0,0,0,0,0,0
2024,Italy,0,0,0,7393309.5600000005,2395822,0,3416830,0,0,0,0,0,0,0,0,12228542.42,0,0,0,0,5214232,0,0,0,0,0,0,0
2017,Kosovo,8954,0,0,0,0,0,0,0,0,0,0,9777,0,0,0,0,0,0,0,0,0,0,0,0,10284,0,0,0
2018,Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99814.95,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Kosovo,0,0,0,0,0,154789.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Kosovo,0,0,0,0,0,27156.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Kosovo,0,0,0,20111.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Kosovo,0,0,0,51270.119999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Latvia,12277.68,0,0,0,0,0,0,0,0,0,0,75470.62,0,0,0,0,0,0,0,0,0,0,0,0,10039.84,0,0,0
2009,Latvia,54898.119999999995,0,0,0,0,0,0,0,0,0,0,174676.02000000002,0,0,0,0,0,0,0,0,0,11400.1,0,0,428849.64,0,0,0
2010,Latvia,71382.45,0,0,0,0,0,0,0,0,0,0,524649.31,0,0,0,0,51112,0,0,0,0,76680.63,0,0,2055128.5999999999,0,0,0
2011,Latvia,61460.51,0,0,0,0,0,0,0,0,0,0,408734.06,0,0,0,0,26638.4,0,0,0,0,116454.47,0,0,1680476.85,0,0,0
2012,Latvia,81173.38,0,0,0,0,0,0,0,0,0,0,840420.51,0,0,0,0,0,0,0,0,0,96127.14,0,0,1855776.21,0,0,0
2013,Latvia,39498.65,0,0,0,0,0,0,0,0,0,0,322201.23,0,0,0,0,6184.6,0,0,0,0,10980.34,0,0,746818.77,0,0,0
2014,Latvia,39869.81,0,0,0,0,0,0,6739.4,0,0,0,496443.87,0,0,0,0,3941.88,0,0,0,0,10912.93,0,0,1087081.4,0,0,0
2015,Latvia,36352,0,0,0,0,0,0,0,0,0,0,498693,0,0,0,0,0,0,0,0,0,0,0,0,2637677,0,0,0
2016,Latvia,86571,0,0,0,0,0,0,0,0,0,0,703430,0,0,0,0,0,0,0,0,0,0,228242,0,4718800,0,0,0
2017,Latvia,45735,0,0,0,0,0,0,84706,0,0,0,697169,0,0,0,0,38400,0,0,0,0,0,18190,0,7366739,0,0,0
2018,Latvia,0,0,0,0,0,0,0,89506,0,0,0,0,0,0,8356921,0,17208,0,0,0,0,0,0,0,0,0,0,0
2019,Latvia,0,0,0,0,11075,7514972.9,0,105587,0,0,0,0,0,0,221354,0,0,0,0,0,0,0,0,0,0,0,56290,0
2020,Latvia,0,0,59176,0,0,7409091,0,86983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Latvia,0,0,0,1099209.21,0,7263091,1746862.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77500.06,0,0
2022,Latvia,0,0,0,2423153.06,0,0,6433772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Latvia,0,0,87960,2835935.1,0,0,5596818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Latvia,0,0,35073,1589995,0,0,2464502,0,0,0,0,0,0,0,0,2024625.28,0,0,0,0,21412,0,0,0,0,0,0,0
2008,Lithuania,49859.87,0,0,0,0,0,0,0,0,0,0,5806.25,0,0,0,0,0,0,0,0,0,0,0,0,289242.10000000003,0,0,0
2009,Lithuania,42355.74,0,0,0,0,0,0,0,0,0,0,504703.02999999997,0,0,0,0,0,98630.08,0,0,0,0,0,0,314494.9,0,0,0
2010,Lithuania,10804.130000000001,0,0,0,0,0,0,0,0,0,0,353617.73,0,0,0,0,15053,0,0,0,0,0,0,0,493182.70999999996,0,0,0
2011,Lithuania,24971.36,0,0,0,0,0,0,0,0,0,0,175773.08000000002,0,0,0,0,269321.2,0,0,0,0,0,0,0,708132.55,0,0,0
2012,Lithuania,54115.54,0,0,0,0,0,0,0,0,0,0,527860.04,0,0,0,0,0,0,0,0,0,0,0,0,660268.76,0,0,0
2013,Lithuania,6794.5,0,0,0,0,0,0,0,0,0,0,100378.84,0,0,0,0,0,0,0,0,0,0,0,0,12762.369999999999,0,0,0
2014,Lithuania,23642.010000000002,0,0,0,0,0,0,30987.199999999997,0,0,0,116282.56,0,0,0,0,0,0,0,0,0,0,0,0,100039.65,0,0,0
2015,Lithuania,51768,0,0,0,0,0,0,28578,0,0,0,258745,0,0,0,0,12558,0,0,0,0,10557,0,0,670465,0,0,0
2016,Lithuania,42911,0,0,0,0,0,0,79255,0,0,0,408514,0,0,0,0,0,0,0,0,0,0,308091,0,1151886,0,0,0
2017,Lithuania,83067,0,0,0,0,0,0,108744,0,0,0,312956,0,0,0,0,49183,0,0,0,0,0,409581,0,989331,0,56836,0
2018,Lithuania,0,0,0,0,25275,0,0,109639,0,0,0,0,0,0,2854550,0,10409,0,0,0,0,0,0,0,0,0,56566.32,0
2019,Lithuania,0,0,0,0,0,3324973.38,0,109407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Lithuania,0,0,0,0,0,3297029,0,134525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174015,0,0
2021,Lithuania,0,0,13452,931330.96,30760.05,2372359.02,266488,83336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127666.77,0,0
2022,Lithuania,0,0,0,1704073.43,263107,0,1688160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Lithuania,0,0,0,2971939.6,104467,0,1300336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Lithuania,0,0,40127,3314553.52,0,0,823491,0,0,0,339781,0,0,0,0,2548841.31,0,0,0,0,29522,0,0,0,0,0,0,0
2008,Luxembourg,15884.43,0,0,0,0,0,0,0,0,0,0,2899.93,0,0,0,0,0,0,0,0,0,775,0,0,1732892.51,0,0,0
2009,Luxembourg,10589.62,0,0,0,0,0,0,0,0,0,0,273094.64,0,0,0,0,0,98585.69,0,0,0,42825.34,0,0,3083319.1,0,0,0
2010,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,3120,0,0,0,0,22644,0,0,0,0,0,0,0,2799458.92,0,0,0
2011,Luxembourg,15743.74,0,0,0,0,0,0,0,0,0,0,5765.639999999999,0,0,0,0,614971.04,0,0,0,0,19261,0,0,1826739.54,0,0,0
2012,Luxembourg,6392.36,0,0,0,0,0,0,0,0,0,0,4919.1,0,0,0,0,0,0,0,0,0,6262.09,0,0,2410130.19,0,0,0
2013,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1497051.78,0,0,0
2014,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12642.75,0,0,7875.2,0,0,0
2015,Luxembourg,8322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44699,0,0,20898,0,0,0
2016,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,7248,0,0,0,0,0,0,0,0,0,0,115698,0,243527,0,0,0
2017,Luxembourg,17771,0,0,0,0,0,0,0,0,0,0,12537,0,0,0,0,0,0,0,0,0,0,48330,0,3317134,0,0,0
2018,Luxembourg,0,0,0,0,104633.37,0,0,0,0,0,0,0,0,0,2847001,0,10409,0,0,0,0,0,15102,0,0,0,0,0
2019,Luxembourg,0,0,0,0,131842,2977888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Luxembourg,0,0,0,0,73600,3914466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Luxembourg,0,0,0,297971.83,125915,2519118,1564656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Luxembourg,0,0,0,446285.37,0,0,3869973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Luxembourg,0,0,0,693822.65,79497,0,3910153.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Luxembourg,0,0,0,755757.64,13107,0,1676566,0,0,0,0,0,0,0,0,2902063.49,0,0,0,0,34811,0,0,0,0,0,0,0
2008,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257173.58,0,0,0
2009,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6667.05,0,0,1202480.77,0,0,0
2010,Malta,13032,0,0,0,0,0,0,0,0,0,0,46838.57,0,0,0,0,19736,0,0,0,0,105302.01,0,0,347565.01,0,0,0
2011,Malta,0,0,0,0,0,0,0,0,0,0,0,321498.34,0,0,0,0,0,0,0,0,0,10376.85,0,0,2230.14,0,0,0
2012,Malta,6510.5,0,0,0,0,0,0,0,0,0,0,130967.94,0,0,0,0,0,0,0,0,0,5887.09,0,0,185693.22,0,0,0
2013,Malta,19796.07,0,0,0,0,0,0,21038.07,0,0,0,190618.36,0,0,0,0,0,0,0,0,0,12829.37,0,0,459199.57,0,0,0
2014,Malta,0,0,0,0,0,0,0,0,0,0,0,169181.97999999998,0,0,0,0,0,0,0,0,0,56510.12,0,0,729993.2,0,0,0
2015,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14851,0,0,1845463,0,0,0
2016,Malta,0,0,0,0,0,0,0,0,0,0,0,174888,0,0,0,0,0,0,0,0,0,0,24068,0,2016087,0,0,0
2017,Malta,0,0,0,0,0,0,0,0,0,0,0,114597,0,0,0,0,0,0,0,0,0,0,0,0,1858699,0,0,0
2018,Malta,0,0,0,0,0,0,0,18035,0,0,0,0,0,0,718706,0,8808,0,0,0,0,0,0,0,0,0,0,0
2019,Malta,0,0,0,0,0,588491,0,56653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Malta,0,0,0,0,3055,191398,0,153842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Malta,0,0,0,275181.83999999997,0,618809,0,172639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15783.35,0,0
2022,Malta,0,0,0,983700.51,12090,0,226505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Malta,0,0,0,1182189.03,15383,0,227741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Malta,0,0,0,914212.85,22060,0,0,0,0,0,0,0,0,0,0,541068.19,0,0,0,0,16163,0,0,0,0,0,0,0
2008,Moldova,0,0,0,0,0,0,0,0,0,0,0,15232.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Moldova,0,0,0,0,0,0,0,0,0,0,0,12772.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Moldova,0,0,0,0,0,0,0,0,0,0,0,16868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Moldova,0,0,0,0,0,0,0,0,0,0,0,26193.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Moldova,3890.2,0,0,0,0,0,0,0,0,0,0,12473.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
