grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2018/365,PRU,State Border Guard Service Lithuania,"Savanoriou Ave. 2,Vilnius LT-03116,Lithuania",2018/PRU/07 Rapid Border Intervention Exercise 2018,10409,2018,Lithuania,Rapid Border Intervention Exercise 2018,Pooled Resources Unit
2018/366,PRU,Customs/Border Guard,"Monbijoustrasse 40, CH-3003 Bern, Switzerland",2018/PRU/07 Rapid Border Intervention Exercise 2018,10409,2018,Switzerland,Rapid Border Intervention Exercise 2018,Pooled Resources Unit
2018/367,PRU,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2018/PRU/07 Rapid Border Intervention Exercise 2018,25736,2018,Finland,Rapid Border Intervention Exercise 2018,Pooled Resources Unit
2018/368,PRU,Romanian Border Police / Coast Guard,"42.C, GeniuluiBoulevard, Sector 6,Bucharest, Romania",2018/PRU/07 Rapid Border Intervention Exercise 2018,24085,2018,Romania,Rapid Border Intervention Exercise 2018,Pooled Resources Unit
2018/369,PRU,Guarda Nacional Republicana,"Largo do Carmo, 1200-092 Lisboa",2018/PRU/07 Rapid Border Intervention Exercise 2018,17302,2018,Portugal,Rapid Border Intervention Exercise 2018,Pooled Resources Unit
2018/370,PRU,Border Guard,"Al. Niepodleglosci 100,02-514 Warszawa,Poland",2018/PRU/07 Rapid Border Intervention Exercise 2018,25516,2018,Poland,Rapid Border Intervention Exercise 2018,Pooled Resources Unit
2018/371,PRU,Federal Police Central Office,"Heinrich-Mann-Allee103, Haus 44, 14473Potsdam, Germany",2018/PRU/07 Rapid Border Intervention Exercise 2018,28181,2018,Germany,Rapid Border Intervention Exercise 2018,Pooled Resources Unit
2018/372,PRU,Malta Police Force,"Calcedonius Sqr.,Floriana, Malta",2018/PRU/07 Rapid Border Intervention,8808,2018,Malta,Rapid Border Intervention,Pooled Resources Unit
2018/373,PRU,Danish National Police,"Polititorvet 14, DK-1780Copenhagen V, Denmark",2018/PRU/07 Rapid Border Intervention Exercise 2018,8929,2018,Denmark,Rapid Border Intervention Exercise 2018,Pooled Resources Unit
2018/374,PRU,Direction Central de la Police aux Frontieres,"Site Garance - PlaceBeauvau - 75800 PARISCedex 8, France",2018/PRU/07 Rapid Border Intervention Exercise 2018,8808,2018,France,Rapid Border Intervention Exercise 2018,Pooled Resources Unit
2018/375,PRU,Direction Generale des Douanes et Droits Indirects,"11, rue des Deuxcommunes 93558Montreuil Cedex France",2018/PRU/07 Rapid Border Intervention Exercise 2018,16928,2018,France,Rapid Border Intervention Exercise 2018,Pooled Resources Unit
2018/377,PRU,Foreigners and Borders Service,"Avenida do Casal deCabanas,  UrbanizaÃ§Ã£oCabanas Golfe, no 1,2734-506 Barcarena",2018/PRU/07 Rapid Border Intervention Exercise 2018,9050,2018,Portugal,Rapid Border Intervention Exercise 2018,Pooled Resources Unit
2017/1463,PRU,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6,Bucharest, Romania",2017/PRU/05 REX 2017,166067,2017,Romania,REX 2017,Pooled Resources Unit
2017/1464,PRU,Customs/Border Guard,"Monbijoustrasse 40, CH-3003 Bern,Switzerland",2017/PRU/05 REX 2017,18410,2017,Switzerland,REX 2017,Pooled Resources Unit
2017/1465,PRU,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558Montreuil Cedex France",2017/PRU/05 REX 2017,20853,2017,France,REX 2017,Pooled Resources Unit
2017/1466,PRU,Bureau of Border and Alien Police,"RuÅ¾inovskÃ¡ 1/B, 812 72 Bratislava,Slovak Republic",2017/PRU/05 REX 2017,19181,2017,Slovakia,REX 2017,Pooled Resources Unit
2017/1467,PRU,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV1012, Riga",2017/PRU/05 REX 2017,38400,2017,Latvia,REX 2017,Pooled Resources Unit
2017/1468,PRU,Direction Central de la Police aux Frontieres,"8, rue de Penthievre, 75800 Paris,France",2017/PRU/05 REX 2017,8784,2017,France,REX 2017,Pooled Resources Unit
2017/1469,PRU,Direction Generale de la Gendarmerie nationale,"4 rue Claude Bernard, 92130 Issy-les-Moulineaux",2017/PRU/05 REX 2017,8653,2017,France,REX 2017,Pooled Resources Unit
2017/1470,PRU,Police and Border Guard Board,"PÃ¤rnu mnt 139, 15060 Tallinn,Estonia",2017/PRU/05 REX 2017,16604,2017,Estonia,REX 2017,Pooled Resources Unit
2017/1471,PRU,Direction Centrale des compagnies republicaines de securite,"Place Beauvau - Site Garance -75800 PARIS Cedex 8, France",2017/PRU/05 REX 2017,12200,2017,France,REX 2017,Pooled Resources Unit
2017/1472,PRU,Police of the Czech Republic,"Strojnicka 27, 170 89 Praha 7,Czech Republic",2017/PRU/05 REX 2017,21195,2017,Czech Republic,REX 2017,Pooled Resources Unit
2017/1473,PRU,Police,"Stefanova 2, 1501 Ljubljana,Slovenia",2017/PRU/05 REX 2017,16459,2017,Slovenia,REX 2017,Pooled Resources Unit
2017/1474,PRU,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/PRU/05 REX 2017,4630,2017,Bulgaria,REX 2017,Pooled Resources Unit
2017/1480,PRU,Hungarian National Police,"VÃ¡ci Ãºt 71, Budapest 1139, Hungary",2017/PRU/05 REX 2017,47150,2017,Hungary,REX 2017,Pooled Resources Unit
2017/1481,PRU,State Border Guard Service Lithuania,"Savanoriou Ave. 2, Vilnius LT-03116, Lithuania",2017/PRU/05 REX 2017,49183,2017,Lithuania,REX 2017,Pooled Resources Unit
2017/1482,PRU,Federal Police Central Office,"Heinrich-Mann-Allee 103, Haus 44,14473 Potsdam, Germany",2017/PRU/05 REX 2017,64159,2017,Germany,REX 2017,Pooled Resources Unit
2017/1483,PRU,Border Guard,"Al. Niepodleglosci 100, 02-514Warszawa, Poland",2017/PRU/05 REX 2017,85163,2017,Poland,REX 2017,Pooled Resources Unit
2017/1484,PRU,Foreigners and Borders Service,"Avenida do Casal de Cabanas,UrbanizaÃ§Ã£o Cabanas Golfe, no 1,2734-506 Barcarena",2017/PRU/05 REX 2017,44943,2017,Portugal,REX 2017,Pooled Resources Unit
2017/1485,PRU,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2017/PRU/05 REX 2017,37122,2017,Croatia,REX 2017,Pooled Resources Unit
2016/1399,PRU,Danish Emergency Management Agency,"Datavej 16, 3460Birkerod, Denmark",2016/PRU/04 Acquisition of technical equipment,12000,2016,Denmark,Technical Equipment,Pooled Resources Unit
2015/771,PRU,Police and Border Guard Board,"Parnu mnt 139, 15060 Tallinn, Estonia",2015/PRU/04 Rapid Intervention Exercise - REX 2015,15849,2015,Estonia,Rapid Intervention Exercise - REX 2015,Pooled Resources Unit
2015/772,PRU,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6,Bucharest, Romania",2015/PRU/04 Rapid Intervention Exercise - REX 2015,9953,2015,Romania,Rapid Intervention Exercise - REX 2015,Pooled Resources Unit
2015/773,PRU,National Police Directorate,"Hammersborggt. 12 P.b, 8051 Dep. 0031Oslo, Norway",2015/PRU/04 Rapid Intervention Exercise - REX 2015,9728,2015,Norway,Rapid Intervention Exercise - REX 2015,Pooled Resources Unit
2015/774,PRU,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa,Poland",2015/PRU/04 Rapid Intervention Exercise - REX 2015,24186,2015,Poland,Rapid Intervention Exercise - REX 2015,Pooled Resources Unit
2015/775,PRU,Slovenian Ministry of Interior,"Stefanova 2, 1501 Ljubljana, Slovenia",2015/PRU/04 Rapid Intervention Exercise - REX 2015,25081,2015,Slovenia,Rapid Intervention Exercise - REX 2015,Pooled Resources Unit
2015/776,PRU,Danish National Police,"Polititorvet 14, DK-1780 Copenhagen V,Denmark",2015/PRU/04 Rapid Intervention Exercise - REX 2015,14201,2015,Denmark,Rapid Intervention Exercise - REX 2015,Pooled Resources Unit
2015/777,PRU,Customs/Border Guard,"Monbijoustrasse 40, CH-3003 Bern,Switzerland",2015/PRU/04 Rapid Intervention Exercise - REX 2015,11064,2015,Switzerland,Rapid Intervention Exercise - REX 2015,Pooled Resources Unit
2015/778,PRU,Chief Directorate Border Police - Ministry of Interior,"46 Maria Louisa blvd., 1202 Sofia,Bulgaria",2015/PRU/04 Rapid Intervention Exercise - REX 2015,21708,2015,Bulgaria,Rapid Intervention Exercise - REX 2015,Pooled Resources Unit
2015/779,PRU,Federal Police,"Fritz Toussaint 8, 1050 Brussels, Belgium",2015/PRU/04 Rapid Intervention Exercise - REX 2015,8868,2015,Belgium,Rapid Intervention Exercise - REX 2015,Pooled Resources Unit
2015/780,PRU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2015/PRU/04 Rapid Intervention Exercise - REX 2015,26609,2015,Italy,Rapid Intervention Exercise - REX 2015,Pooled Resources Unit
2015/783,PRU,"International Police Cooperation Directorate, Police of the Czech Republic","Strojnicka 27, 170 89 Praha 7, CzechRepublic",2015/PRU/04 Rapid Intervention Exercise - REX 2015,7725,2015,Czech Republic,Rapid Intervention Exercise - REX 2015,Pooled Resources Unit
2015/784,PRU,State Border Guard Service Lithuania,"Savanoriou Ave. 2, Vilnius LT-03116,Lithuania",2015/PRU/04 Rapid Intervention Exercise - REX 2015,12558,2015,Lithuania,Rapid Intervention Exercise - REX 2015,Pooled Resources Unit
2015/785,PRU,Bureau of Border and Alien Police,"RuÅ¾inovskÃ¡ 1/B, 812 72 Bratislava, SlovakRepublic",2015/PRU/04 Rapid Intervention Exercise - REX 2015,2109,2015,Slovakia,Rapid Intervention Exercise - REX 2015,Pooled Resources Unit
2015/786,PRU,Direction Central de la Police aux Frontieres,"8, rue de Penthievre, 75800 Paris, France",2015/PRU/04 Rapid Intervention Exercise - REX 2015,7176,2015,France,Rapid Intervention Exercise - REX 2015,Pooled Resources Unit
2015/787,PRU,Federal Police Central Office,"Heinrich-Mann-Allee 103, Haus 44, 14473Potsdam, Germany",2015/PRU/04 Rapid Intervention Exercise - REX 2015,43402,2015,Germany,Rapid Intervention Exercise - REX 2015,Pooled Resources Unit
2015/788,PRU,Finnish Border Guard,"Korkeavuorenkatu 21, FIN-00130 Helsinki,Finland",2015/PRU/04 Rapid Intervention Exercise - REX 2015,3553,2015,Finland,Rapid Intervention Exercise - REX 2015,Pooled Resources Unit
2015/789,PRU,Immigration and Naturalisation Service,"P.O. Box 5800, 2280 HV Rijswijk, theNetherlands",2015/PRU/04 Rapid Intervention Exercise - REX 2015,25449,2015,Netherlands,Rapid Intervention Exercise - REX 2015,Pooled Resources Unit
2015/790,PRU,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid,Spain",2015/PRU/04 Rapid Intervention Exercise - REX 2015,12738,2015,Spain,Rapid Intervention Exercise - REX 2015,Pooled Resources Unit
2015/791,PRU,"Cyprus Police, Police Headquarters","Cyprus Police, Police Headquarters",2015/PRU/04 Rapid Intervention Exercise - REX 2015,11627,2015,Cyprus,Rapid Intervention Exercise - REX 2015,Pooled Resources Unit
2015/792,PRU,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens,Greece",2015/PRU/04 Rapid Intervention Exercise - REX 2015,48435,2015,Greece,Rapid Intervention Exercise - REX 2015,Pooled Resources Unit
2015/1143,PRU,Chief Directorate Border Police - Ministry of Interior,"46 Maria Louisa blvd., 1202 Sofia,Bulgaria",2015/PRU/06 Pilot project on acqusition of aerial surveillance services,2079,2015,Bulgaria,Pilot project on acqusition of aerial surveillance services,Pooled Resources Unit
2014/371,PRU,Chief Directorate Border Police - Ministry of Interior,"46 Maria Louisa blvd., 1202 Sofia, Bulgaria",2014/PRU/07 Management of the technical equipment pool 2014,1538.39,2014,Bulgaria,Technical Equipment,Pooled Resources Unit
2014/948,PRU,Aparati i Drejtorisë së Policisë së Shtetit,"BULEVARDI BAJRAM CURRI, 240/1 TIRANA, Albania",2014/PRU/05 Rex 2014,3083.74,2014,Albania,Rex 2014,Pooled Resources Unit
2014/949,PRU,Border Police of Bosnia and Herzegovina,"Reufa MuhiÄ‡a 2a, 71000 Sarajevo, Bosnia andHerzegovina",2014/PRU/05 Rex 2014,2989.58,2014,Bosnia and Herzegovina,Rex 2014,Pooled Resources Unit
2014/951,PRU,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2014/PRU/05 Rex 2014,3941.88,2014,Latvia,Rex 2014,Pooled Resources Unit
2014/952,PRU,Slovenian Ministry of Interior,"Stefanova 2, 1501 Ljubljana, Slovenia",2014/PRU/05 Rex 2014,6803.06,2014,Slovenia,Rex 2014,Pooled Resources Unit
2014/953,PRU,"Directorate for Financial-Material Affairs, Ministry of Interior","Illica 335, 10000 Zagreb, Croatia",2014/PRU/05 Rex 2014,30343.06,2014,Croatia,Rex 2014,Pooled Resources Unit
2014/954,PRU,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/PRU/05 Rex 2014,3945.59,2014,Spain,Rex 2014,Pooled Resources Unit
2014/955,PRU,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2014/PRU/05 Rex 2014,13229.48,2014,Estonia,Rex 2014,Pooled Resources Unit
2014/956,PRU,Danish National Police,"Polititorvet 14, DK-1780 Copenhagen V, Denmark",2014/PRU/05 Rex 2014,4180.49,2014,Denmark,Rex 2014,Pooled Resources Unit
2014/957,PRU,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2014/PRU/05 Rex 2014,8343.86,2014,Romania,Rex 2014,Pooled Resources Unit
2014/958,PRU,Chief Directorate Border Police - Ministry of Interior,"46 Maria Louisa blvd., 1202 Sofia, Bulgaria",2014/PRU/05 Rex 2014,3966.49,2014,Bulgaria,Rex 2014,Pooled Resources Unit
2014/959,PRU,National Police Directorate,"Hammersborggt. 12 P.b, 8051 Dep. 0031 Oslo, Norway",2014/PRU/05 Rex 2014,3859.49,2014,Norway,Rex 2014,Pooled Resources Unit
2014/960,PRU,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/PRU/05 Rex 2014,12648.47,2014,Spain,Rex 2014,Pooled Resources Unit
2014/961,PRU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2014/PRU/05 Rex 2014,8746.18,2014,Austria,Rex 2014,Pooled Resources Unit
2014/962,PRU,Federal Police Central Office,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam,Germany",2014/PRU/05 Rex 2014,17173.93,2014,Germany,Rex 2014,Pooled Resources Unit
2014/963,PRU,Customs/Border Guard,"Monbijoustrasse 40, CH-3003 Bern, Switzerland",2014/PRU/05 Rex 2014,3412.23,2014,Switzerland,Rex 2014,Pooled Resources Unit
2014/964,PRU,Direction Central de la Police aux Frontieres,"8, rue de Penthievre, 75800 Paris, France",2014/PRU/05 Rex 2014,3859.49,2014,France,Rex 2014,Pooled Resources Unit
2014/967,PRU,National Operations Department,"P.O. Box 12256,  SE-  10226, Stockholm , Sweden",2014/PRU/05 Rex 2014,3292.39,2014,Sweden,Rex 2014,Pooled Resources Unit
2014/968,PRU,Bureau of Border and Alien Police,"RuÅ¾inovskÃ¡ 1/B, 812 72 Bratislava, Slovak Republic",2014/PRU/05 Rex 2014,2875.09,2014,Slovakia,Rex 2014,Pooled Resources Unit
2014/969,PRU,Bureau of Border and Alien Police,"RuÅ¾inovskÃ¡ 1/B, 812 72 Bratislava, Slovak Republic",2014/PRU/05 Rex 2014,6338.68,2014,Slovakia,Rex 2014,Pooled Resources Unit
2014/970,PRU,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2014/PRU/05 Rex 2014,7932.98,2014,Spain,Rex 2014,Pooled Resources Unit
2014/971,PRU,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2014/PRU/05 Rex 2014,14761.72,2014,Poland,Rex 2014,Pooled Resources Unit
2014/973,PRU,Finnish Border Guard,"Korkeavuorenkatu 21, FIN-00130 Helsinki, Finland",2014/PRU/05 Rex 2014,10113.64,2014,Finland,Rex 2014,Pooled Resources Unit
2013/498,PRU,Chief Directorate Border Police - Ministry of Interior,"46 Maria Louisa blvd., 1202 Sofia, Bulgaria",2013/PRU/04 Rapid intervention exercise - REX 2013,11183.64,2013,Bulgaria,Rapid intervention exercise - REX 2013,Pooled Resources Unit
2013/499,PRU,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/PRU/04 Rapid intervention exercise - REX 2013,4344.2,2013,Estonia,Rapid intervention exercise - REX 2013,Pooled Resources Unit
2013/500,PRU,Finnish Border Guard,"Korkeavuorenkatu 21, FIN-00130 Helsinki, Finland",2013/PRU/04 Rapid intervention exercise - REX 2013,6169.87,2013,Finland,Rapid intervention exercise - REX 2013,Pooled Resources Unit
2013/506,PRU,Foreigners and Borders Service,"Avenida do Casal de Cabanas,  UrbanizaÃ§Ã£o CabanasGolfe, no 1, 2734-506 Barcarena",2013/PRU/04 Rapid intervention exercise - REX 2013,16765.83,2013,Portugal,Rapid intervention exercise - REX 2013,Pooled Resources Unit
2013/507,PRU,National Bureau of Investigation,"P.O. Box 12256,  SE-  10226, Stockholm , Sweden",2013/PRU/04 Rapid intervention exercise - REX 2013,5489.1,2013,Sweden,Rapid intervention exercise - REX 2013,Pooled Resources Unit
2013/508,PRU,Direction Central de la Police aux Frontieres,"8, rue de Penthievre, 75800 Paris, France",2013/PRU/04 Rapid intervention exercise - REX 2013,5478.4,2013,France,Rapid intervention exercise - REX 2013,Pooled Resources Unit
2013/509,PRU,Romanian Border Police / Coast Guard,"2-4 Razoare Street, Bucharest, Sector 6, Romania",2013/PRU/04 Rapid intervention exercise - REX 2013,9863.26,2013,Romania,Rapid intervention exercise - REX 2013,Pooled Resources Unit
2013/510,PRU,Slovenian Ministry of Interior,"Stefanova 2, 1501 Ljubljana, Slovenia",2013/PRU/04 Rapid intervention exercise - REX 2013,11651.23,2013,Slovenia,Rapid intervention exercise - REX 2013,Pooled Resources Unit
2013/511,PRU,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2013/PRU/04 Rapid intervention exercise - REX 2013,6184.6,2013,Latvia,Rapid intervention exercise - REX 2013,Pooled Resources Unit
2013/512,PRU,Federal Police Central Office,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam,Germany",2013/PRU/04 Rapid intervention exercise - REX 2013,12122.67,2013,Germany,Rapid intervention exercise - REX 2013,Pooled Resources Unit
2013/513,PRU,Bureau of Border and Alien Police,"RuÅ¾inovskÃ¡ 1/B, 812 72 Bratislava, Slovak Republic",2013/PRU/04 Rapid intervention exercise - REX 2013,5245.68,2013,Slovakia,Rapid intervention exercise - REX 2013,Pooled Resources Unit
2013/514,PRU,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2013/PRU/04 Rapid intervention exercise - REX 2013,32846.86,2013,Poland,Rapid intervention exercise - REX 2013,Pooled Resources Unit
2013/515,PRU,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria",2013/PRU/04 Rapid intervention exercise - REX 2013,25635.6,2013,Austria,Rapid intervention exercise - REX 2013,Pooled Resources Unit
2013/516,PRU,Ministry of Internal Affairs,"Bul. Mihajla Pupina 2, 11070 Belgrade, Republic of Serbia",2013/PRU/04 Rapid intervention exercise - REX 2013,5375.68,2013,Serbia,Rapid intervention exercise - REX 2013,Pooled Resources Unit
2013/517,PRU,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2013/PRU/04 Rapid intervention exercise - REX 2013,12902.06,2013,Spain,Rapid intervention exercise - REX 2013,Pooled Resources Unit
2013/518,PRU,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2013/PRU/04 Rapid intervention exercise - REX 2013,10041.09,2013,Croatia,Rapid intervention exercise - REX 2013,Pooled Resources Unit
2013/519,PRU,Hungarian National Police,"VÃ¡ci Ãºt 71, Budapest 1139, Hungary",2013/PRU/04 Rapid intervention exercise - REX 2013,6584.78,2013,Hungary,Rapid intervention exercise - REX 2013,Pooled Resources Unit
2013/520,PRU,"International Police Cooperation Directorate, Police of the Czech Republic","OlÅ¡anskÃ¡ 3, 130 51 Praha 3, Czech Republic",2013/PRU/04 Rapid intervention exercise - REX 2013,5767.3,2013,Czech Republic,Rapid intervention exercise - REX 2013,Pooled Resources Unit
2010/681/,PRU,Chief Directorate Border Police - Ministry of Interior,NA,2010/PRU/09 RABIT 2010,15579.1,2011,Bulgaria,RABIT 2010,Pooled Resources Unit
2010/682/,PRU,Romanian Border Police / Coast Guard,NA,2010/PRU/09 RABIT 2010,145588.5,2011,Romania,RABIT 2010,Pooled Resources Unit
2010/687/,PRU,Federal Police,NA,2010/PRU/09 RABIT 2010,15904.72,2011,Belgium,RABIT 2010,Pooled Resources Unit
2010/688/,PRU,State Border Guard Service Lithuania,NA,2010/PRU/09 RABIT 2010,34330,2011,Lithuania,RABIT 2010,Pooled Resources Unit
2010/689/,PRU,Border Guard,NA,2010/PRU/09 RABIT 2010,123554.37,2011,Poland,RABIT 2010,Pooled Resources Unit
2010/695/,PRU,Guardia Costiera,NA,2010/PRU/09 RABIT 2010,37134,2011,Italy,RABIT 2010,Pooled Resources Unit
2010/696/,PRU,"Cyprus Police, Police Headquarters",NA,2010/PRU/09 RABIT 2010,2129,2011,Cyprus,RABIT 2010,Pooled Resources Unit
2010/699/,PRU,Slovenian Ministry of Interior,NA,2010/PRU/09 RABIT 2010,9946.04,2011,Slovenia,RABIT 2010,Pooled Resources Unit
2010/701/,PRU,Direction Central de la Police aux Frontieres,NA,2010/PRU/09 RABIT 2010,61548,2011,France,RABIT 2010,Pooled Resources Unit
2010/704/,PRU,Immigration and Naturalisation Service,NA,2010/PRU/09 RABIT 2010,48.15,2011,Netherlands,RABIT 2010,Pooled Resources Unit
2010/706/,PRU,Jefatura Fiscal y de Fronteras,NA,2010/PRU/09 RABIT 2010,3375.74,2011,Spain,RABIT 2010,Pooled Resources Unit
2010/707/,PRU,Danish National Police,NA,2010/PRU/09 RABIT 2010,12648,2011,Denmark,RABIT 2010,Pooled Resources Unit
2010/716/,PRU,Bureau of Border and Alien Police,NA,2010/PRU/09 RABIT 2010,21583.64,2011,Slovakia,RABIT 2010,Pooled Resources Unit
2010/721/,PRU,Finnish Border Guard,NA,2010/PRU/09 RABIT 2010,47351.74,2011,Finland,RABIT 2010,Pooled Resources Unit
2010/722/,PRU,Foreigners and Borders Service,NA,2010/PRU/09 RABIT 2010,66829.81,2011,Portugal,RABIT 2010,Pooled Resources Unit
2010/724/,PRU,National Police Directorate,NA,2010/PRU/09 RABIT 2010,34439.5,2011,Norway,RABIT 2010,Pooled Resources Unit
2011/12/,PRU,Border Guard,NA,2010/PRU/09 RABIT 2010,214387.9,2011,Poland,RABIT 2010,Pooled Resources Unit
2011/19/,PRU,State Border Guard,NA,2010/PRU/09 RABIT 2010,26638.4,2011,Latvia,RABIT 2010,Pooled Resources Unit
2011/20/,PRU,Immigration and Naturalisation Service,NA,2010/PRU/09 RABIT 2010,15035.5,2011,Netherlands,RABIT 2010,Pooled Resources Unit
2011/21/,PRU,Immigration and Naturalisation Service,NA,2010/PRU/09 RABIT 2010,15631,2011,Netherlands,RABIT 2010,Pooled Resources Unit
2011/22/,PRU,Immigration and Naturalisation Service,NA,2010/PRU/09 RABIT 2010,15035.5,2011,Netherlands,RABIT 2010,Pooled Resources Unit
2011/23/,PRU,Immigration and Naturalisation Service,NA,2010/PRU/09 RABIT 2010,15035.5,2011,Netherlands,RABIT 2010,Pooled Resources Unit
2011/30/,PRU,Danish Emergency Management Agency,NA,2010/PRU/09 RABIT 2010,150448.83,2011,Denmark,RABIT 2010,Pooled Resources Unit
2011/38/,PRU,"Hellenic Police, Ministry of Public Order and Citizens' Protection",NA,2010/PRU/09 RABIT 2010,202182,2011,Greece,RABIT 2010,Pooled Resources Unit
2011/73/,PRU,Sudurnes Police District,NA,2010/PRU/09 RABIT 2010,5481.13,2011,Iceland,RABIT 2010,Pooled Resources Unit
2011/129/,PRU,Police Grand Ducale,NA,2010/PRU/09 - 2011/LBS/02 Rabit-Poseidon Land 2011,614971.04,2011,Luxembourg,Poseidon,Pooled Resources Unit
2011/213/,PRU,Police and Border Guard Board,NA,2010/PRU/09 - 2011/LBS/02 Rabit-Poseidon Land 2011,216454.41,2011,Estonia,Poseidon,Pooled Resources Unit
2011/403/,PRU,Border Guard,NA,2010/PRU/09 - 2011/LBS/02 Rabit-Poseidon Land 2011,324037.2,2011,Poland,Poseidon,Pooled Resources Unit
2011/793/,PRU,State Border Guard Service Lithuania,NA,2010/PRU/09 - 2011/LBS/02 Rabit-Poseidon Land 2011,234991.2,2011,Lithuania,Poseidon,Pooled Resources Unit
2010/82/,PRU,Federal Police Central Office,NA,2010/PRU/03 Intellcap Pilot Project,21377.67,2010,Germany,Intellcap Pilot Project,Pooled Resources Unit
2010/681/,PRU,Chief Directorate Border Police - Ministry of Interior,NA,2010/PRU/09 RABIT 2010,81610.75,2010,Bulgaria,RABIT 2010,Pooled Resources Unit
2010/682/,PRU,Romanian Border Police / Coast Guard,NA,2010/PRU/09 RABIT 2010,256900.7,2010,Romania,RABIT 2010,Pooled Resources Unit
